Neo Reference ID,Name,Absolute Magnitude,Est Dia in KM(min),Est Dia in KM(max),Est Dia in M(min),Est Dia in M(max),Est Dia in Miles(min),Est Dia in Miles(max),Est Dia in Feet(min),Est Dia in Feet(max),Epoch Date Close Approach,Relative Velocity km per sec,Relative Velocity km per hr,Miles per hour,Miss Dist.(Astronomical),Miss Dist.(lunar),Miss Dist.(kilometers),Miss Dist.(miles),Orbit ID,Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,Hazardous
2483656,2483656,23.8,0.046190746,0.1032856481,46.1907460282,103.2856480504,0.0287015901,0.0641787064,151.544447199,338.8636855496,794649600000,11.9306119236,42950.2029249665,26687.5858119049,0.0975437554,37.944519043,14592338,9067258,41,0,0.0515902,7.480,2456125.5,0.3864450668773290,0.7629535011587540,20.83340836762830,352.9209234711130,243.4139883487220,0.468113884379167,351.1779799498100,1.057793117938340,2456231.633385320000,203.0327732060240,1.478961839630410,FALSE
3182169,3182169,23.6,0.0506471459,0.1132504611,50.6471458835,113.2504610618,0.0314706677,0.0703705522,166.1651821003,371.5566426699,795254400000,3.8380167643,13816.8603514779,8585.2597000614,0.0864847003,33.6425476074,12937927,8039255,21,0,0.0231683,5.694,2458000.5,0.1755281002971450,1.085053919527080,1.499707987243190,143.9720934468940,412.8339519813860,0.8945964663125210,2.124647144481260,1.27551137274164,2458019.676041010000,343.2780837648180,0.8720213012330730,FALSE
2267221,2267221,19.8,0.2914439045,0.6516883822,291.4439045349,651.6883821679,0.1810947904,0.4049402617,956.1808197541,2138.0853117517,795859200000,14.6506071817,52742.1858542341,32771.9432048156,0.49345027,191.9521636963,73819112,45869068,80,0,0.00864628,5.679,2458000.5,0.6596701710312650,1.039069958449250,1.660280612530240,211.1661458545500,386.8704956796540,0.3536265012455830,111.2704877710450,1.72451341565291,2458022.991311090000,339.0708464948790,0.9305439520983690,TRUE
2382875,2382875,21.7,0.1214940408,0.2716689341,121.4940407996,271.6689340891,0.0754928736,0.1688071972,398.6025088171,891.3023057169,795859200000,7.5148753568,27053.5512844418,16810.0246856022,0.4991803786,194.1811676025,74676320,46401716,39,0,0.072723,4.988,2458000.5,0.1806949354384840,1.298712853884240,2.883848267500710,42.7745945849694,540.5901587784000,1.064042018598490,283.6789058830170,1.533383689169980,2458116.955251420000,282.4479213473540,0.6659388709803940,FALSE
2396793,2396793,20.1,0.2538370294,0.5675968529,253.8370293645,567.5968528656,0.1577269688,0.3526882241,832.7986794202,1862.1944587557,795859200000,14.3828211868,51778.1562725826,32172.9327128167,0.4209661835,163.7558441162,62975644,39131252,27,0,0.286119,5.550,2458000.5,0.6085291129034920,1.067729565398200,19.76609421451880,228.3483095782690,402.9863441432190,0.4179850401456030,179.9055930928360,1.717474090650800,2458175.961956840000,203.2544790124770,0.8933305190908870,FALSE
2419472,2419472,19.9,0.2783267681,0.6223575734,278.3267680719,622.3575733667,0.1729441822,0.3867149477,913.1455937611,2041.8556210042,795859200000,16.5382492667,59537.6973600401,36994.4097846316,0.3724623296,144.8878479004,55719572,34622536,48,0,0.00632801,5.118,2458000.5,0.2001586683140730,1.225054256082760,23.76674096359200,157.1413506175400,495.2579002937380,0.9798490275727470,9.6180260171084,1.470259484592770,2458225.396086400000,196.5243824380090,0.7268940077209950,TRUE
3647009,3647009,27.4,0.0088014652,0.0196806745,8.801465209,19.6806745089,0.0054689752,0.0122290004,28.8761991163,64.5691441559,795859200000,7.3391408326,26420.9069973864,16416.9241284594,0.071064889,27.644241333,10631156,6605894,7,7,0.00184403,5.435,2458000.5,0.2216354711934580,1.149622484484150,7.430785914533310,330.7831998198390,450.2267560674100,0.894825363440914,290.4836428426270,1.404419605527390,2457820.163435950000,144.1965902347320,0.7995970811341540,FALSE
3713321,3713321,23.9,0.04411182,0.0986370281,44.1118199997,98.6370281305,0.0274098057,0.0612901888,144.7238235278,323.6123073718,795859200000,10.5995937061,38158.5373419197,23710.23116115,0.3935150166,153.0773468018,58869008,36579508,11,5,0.110326,4.698,2458000.5,0.2254849824771860,1.408325755715620,8.113962312011780,158.2260557876110,610.4542330459970,1.090769447365910,28.41222819732560,1.725882064065320,2457721.451415720000,164.561870327472,0.589724799193709,FALSE
3747315,3747315,26.9,0.0110803882,0.0247765013,11.0803882126,24.7765012606,0.0068850319,0.0153953994,36.3529808636,81.2877363957,795859200000,22.8246286413,82168.6631087621,51056.411807775,0.4729642584,183.9830932617,70754448,43964776,5,7,0.00602602,6.938,2458000.5,0.2997332703803510,0.8416315805242640,10.27694002800110,171.1772580572290,282.0210086909680,0.5893665944383420,218.2204921071240,1.093896566610190,2457932.078607810000,87.3399513801906,1.276500646781530,FALSE
3771614,3771614,21.424,0.1379605689,0.3084892103,137.9605689104,308.4892102982,0.0857246967,0.1916862491,452.6265529039,1012.1037407146,795859200000,20.3742223265,73347.2003754896,45575.0979222036,0.2243809656,87.2841949463,33566916,20857514,9,6,0.0890355,4.955,2458000.5,0.1478846210086850,1.235912132943170,39.40701510140630,356.5439054824790,501.8568085276270,1.05313973556283,218.6018120381650,1.418684530323500,2457874.563840210000,90.33855226043310,0.7173360884675190,FALSE
